time,Strategy 1,Strategy 2,Strategy 3
0,3339,3361,3300
1,3853,3426,2721
2,4465,3283,2252
3,5409,2883,1708
4,6233,2371,1396
5,7025,1797,1178
6,7650,1288,1062
7,8140,906,954
8,8570,610,820
9,8805,404,791
10,9064,252,684
11,9218,153,629
12,9294,97,609
13,9410,56,534
14,9476,31,493
15,9536,17,447
16,9579,5,416
17,9623,1,376
18,9694,1,305
19,9693,1,306
20,9746,1,253
21,9764,0,236
22,9772,0,228
23,9785,0,215
24,9807,0,193
25,9849,0,151
26,9826,0,174
27,9859,0,141
28,9843,0,157
29,9876,0,124
30,9872,0,128
31,9881,0,119
32,9890,0,110
33,9904,0,96
34,9903,0,97
35,9912,0,88
36,9932,0,68
37,9930,0,70
38,9927,0,73
39,9937,0,63
40,9942,0,58
41,9938,0,62
42,9949,0,51
43,9952,0,48
44,9965,0,35
45,9967,0,33
46,9971,0,29
47,9966,0,34
48,9971,0,29
49,9968,0,32
50,9978,0,22
51,9970,0,30
52,9977,0,23
53,9980,0,20
54,9985,0,15
55,9983,0,17
56,9989,0,11
57,9977,0,23
58,9984,0,16
59,9981,0,19
60,9987,0,13
61,9982,0,18
62,9987,0,13
63,9985,0,15
64,9987,0,13
65,9985,0,15
66,9988,0,12
67,9985,0,15
68,9987,0,13
69,9990,0,10
70,9991,0,9
71,9987,0,13
72,9987,0,13
73,9989,0,11
74,9994,0,6
75,9992,0,8
76,9989,0,11
77,9993,0,7
78,9993,0,7
79,9986,0,14
80,9990,0,10
81,9994,0,6
82,9989,0,11
83,9991,0,9
84,9994,0,6
85,9991,0,9
86,9993,0,7
87,9995,0,5
88,9992,0,8
89,9991,0,9
90,9995,0,5
91,9996,0,4
92,9998,0,2
93,9999,0,1
94,9997,0,3
95,9998,0,2
96,10000,0,0
97,10000,0,0
98,10000,0,0
99,10000,0,0
100,10000,0,0
101,10000,0,0
