Strategy 1,Strategy 2,Strategy 3,Strategy 1,Strategy 2,Strategy 3,-,-
x0(1),x0(2),x0(3),xF(1),xF(2),xF(3),sim,divisions
0,0,400,0,0,400,0,20
0,0,400,0,0,400,1,20
0,0,400,0,0,400,2,20
0,0,400,0,0,400,3,20
0,0,400,0,0,400,4,20
0,0,400,0,0,400,5,20
0,0,400,0,0,400,6,20
0,0,400,0,0,400,7,20
0,0,400,0,0,400,8,20
0,0,400,0,0,400,9,20
0,0,400,0,0,400,10,20
0,0,400,0,0,400,11,20
0,0,400,0,0,400,12,20
0,0,400,0,0,400,13,20
0,0,400,0,0,400,14,20
0,0,400,0,0,400,15,20
0,0,400,0,0,400,16,20
0,0,400,0,0,400,17,20
0,0,400,0,0,400,18,20
0,0,400,0,0,400,19,20
0,0,400,0,0,400,20,20
0,0,400,0,0,400,21,20
0,0,400,0,0,400,22,20
0,0,400,0,0,400,23,20
0,0,400,0,0,400,24,20
0,0,400,0,0,400,25,20
0,0,400,0,0,400,26,20
0,0,400,0,0,400,27,20
0,0,400,0,0,400,28,20
0,0,400,0,0,400,29,20
0,0,400,0,0,400,30,20
0,0,400,0,0,400,31,20
0,0,400,0,0,400,32,20
0,0,400,0,0,400,33,20
0,0,400,0,0,400,34,20
0,0,400,0,0,400,35,20
0,0,400,0,0,400,36,20
0,0,400,0,0,400,37,20
0,0,400,0,0,400,38,20
0,0,400,0,0,400,39,20
0,0,400,0,0,400,40,20
0,0,400,0,0,400,41,20
0,0,400,0,0,400,42,20
0,0,400,0,0,400,43,20
0,0,400,0,0,400,44,20
0,0,400,0,0,400,45,20
0,0,400,0,0,400,46,20
0,0,400,0,0,400,47,20
0,0,400,0,0,400,48,20
0,0,400,0,0,400,49,20
0,20,380,0,83,317,0,20
0,20,380,0,91,309,1,20
0,20,380,0,86,314,2,20
0,20,380,0,86,314,3,20
0,20,380,0,87,313,4,20
0,20,380,0,85,315,5,20
0,20,380,0,85,315,6,20
0,20,380,0,88,312,7,20
0,20,380,0,90,310,8,20
0,20,380,0,84,316,9,20
0,20,380,0,89,311,10,20
0,20,380,0,88,312,11,20
0,20,380,0,89,311,12,20
0,20,380,0,85,315,13,20
0,20,380,0,90,310,14,20
0,20,380,0,89,311,15,20
0,20,380,0,85,315,16,20
0,20,380,0,91,309,17,20
0,20,380,0,88,312,18,20
0,20,380,0,94,306,19,20
0,20,380,0,80,320,20,20
0,20,380,0,86,314,21,20
0,20,380,0,94,306,22,20
0,20,380,0,87,313,23,20
0,20,380,0,85,315,24,20
0,20,380,0,88,312,25,20
0,20,380,0,82,318,26,20
0,20,380,0,86,314,27,20
0,20,380,0,82,318,28,20
0,20,380,0,85,315,29,20
0,20,380,0,83,317,30,20
0,20,380,0,95,305,31,20
0,20,380,0,83,317,32,20
0,20,380,0,88,312,33,20
0,20,380,0,87,313,34,20
0,20,380,0,89,311,35,20
0,20,380,0,90,310,36,20
0,20,380,0,92,308,37,20
0,20,380,0,85,315,38,20
0,20,380,0,84,316,39,20
0,20,380,0,93,307,40,20
0,20,380,0,84,316,41,20
0,20,380,0,91,309,42,20
0,20,380,0,85,315,43,20
0,20,380,0,81,319,44,20
0,20,380,0,86,314,45,20
0,20,380,0,84,316,46,20
0,20,380,0,92,308,47,20
0,20,380,0,86,314,48,20
0,20,380,0,92,308,49,20
0,40,360,0,167,233,0,20
0,40,360,0,152,248,1,20
0,40,360,0,162,238,2,20
0,40,360,0,164,236,3,20
0,40,360,0,164,236,4,20
0,40,360,0,158,242,5,20
0,40,360,0,164,236,6,20
0,40,360,0,164,236,7,20
0,40,360,0,159,241,8,20
0,40,360,0,153,247,9,20
0,40,360,0,166,234,10,20
0,40,360,0,152,248,11,20
0,40,360,0,168,232,12,20
0,40,360,0,163,237,13,20
0,40,360,0,157,243,14,20
0,40,360,0,153,247,15,20
0,40,360,0,157,243,16,20
0,40,360,0,162,238,17,20
0,40,360,0,159,241,18,20
0,40,360,0,149,251,19,20
0,40,360,0,159,241,20,20
0,40,360,0,152,248,21,20
0,40,360,0,164,236,22,20
0,40,360,0,158,242,23,20
0,40,360,0,157,243,24,20
0,40,360,0,166,234,25,20
0,40,360,0,151,249,26,20
0,40,360,0,161,239,27,20
0,40,360,0,166,234,28,20
0,40,360,0,159,241,29,20
0,40,360,0,165,235,30,20
0,40,360,0,143,257,31,20
0,40,360,0,155,245,32,20
0,40,360,0,167,233,33,20
0,40,360,0,157,243,34,20
0,40,360,0,158,242,35,20
0,40,360,0,162,238,36,20
0,40,360,0,171,229,37,20
0,40,360,0,161,239,38,20
0,40,360,0,157,243,39,20
0,40,360,0,153,247,40,20
0,40,360,0,154,246,41,20
0,40,360,0,167,233,42,20
0,40,360,0,153,247,43,20
0,40,360,0,161,239,44,20
0,40,360,0,160,240,45,20
0,40,360,0,153,247,46,20
0,40,360,0,160,240,47,20
0,40,360,0,161,239,48,20
0,40,360,0,156,244,49,20
0,60,340,0,219,181,0,20
0,60,340,0,206,194,1,20
0,60,340,0,223,177,2,20
0,60,340,0,216,184,3,20
0,60,340,0,206,194,4,20
0,60,340,0,200,200,5,20
0,60,340,0,222,178,6,20
0,60,340,0,206,194,7,20
0,60,340,0,218,182,8,20
0,60,340,0,203,197,9,20
0,60,340,0,210,190,10,20
0,60,340,0,213,187,11,20
0,60,340,0,210,190,12,20
0,60,340,0,225,175,13,20
0,60,340,0,229,171,14,20
0,60,340,0,211,189,15,20
0,60,340,0,222,178,16,20
0,60,340,0,221,179,17,20
0,60,340,0,228,172,18,20
0,60,340,0,223,177,19,20
0,60,340,0,227,173,20,20
0,60,340,0,223,177,21,20
0,60,340,0,213,187,22,20
0,60,340,0,207,193,23,20
0,60,340,0,218,182,24,20
0,60,340,0,219,181,25,20
0,60,340,0,216,184,26,20
0,60,340,0,217,183,27,20
0,60,340,0,223,177,28,20
0,60,340,0,211,189,29,20
0,60,340,0,219,181,30,20
0,60,340,0,218,182,31,20
0,60,340,0,219,181,32,20
0,60,340,0,214,186,33,20
0,60,340,0,226,174,34,20
0,60,340,0,225,175,35,20
0,60,340,0,218,182,36,20
0,60,340,0,211,189,37,20
0,60,340,0,217,183,38,20
0,60,340,0,219,181,39,20
0,60,340,0,204,196,40,20
0,60,340,0,217,183,41,20
0,60,340,0,216,184,42,20
0,60,340,0,223,177,43,20
0,60,340,0,212,188,44,20
0,60,340,0,219,181,45,20
0,60,340,0,216,184,46,20
0,60,340,0,217,183,47,20
0,60,340,0,215,185,48,20
0,60,340,0,229,171,49,20
0,80,320,0,258,142,0,20
0,80,320,0,265,135,1,20
0,80,320,0,253,147,2,20
0,80,320,0,256,144,3,20
0,80,320,0,281,119,4,20
0,80,320,0,255,145,5,20
0,80,320,0,267,133,6,20
0,80,320,0,258,142,7,20
0,80,320,0,248,152,8,20
0,80,320,0,271,129,9,20
0,80,320,0,265,135,10,20
0,80,320,0,256,144,11,20
0,80,320,0,266,134,12,20
0,80,320,0,263,137,13,20
0,80,320,0,256,144,14,20
0,80,320,0,270,130,15,20
0,80,320,0,268,132,16,20
