Strategy 1,Strategy 2,Strategy 3,Strategy 1,Strategy 2,Strategy 3,-,-
x0(1),x0(2),x0(3),xF(1),xF(2),xF(3),sim,divisions
0,0,2500,0,0,2500,0,20
0,0,2500,0,0,2500,1,20
0,0,2500,0,0,2500,2,20
0,0,2500,0,0,2500,3,20
0,0,2500,0,0,2500,4,20
0,0,2500,0,0,2500,5,20
0,0,2500,0,0,2500,6,20
0,0,2500,0,0,2500,7,20
0,0,2500,0,0,2500,8,20
0,0,2500,0,0,2500,9,20
0,0,2500,0,0,2500,10,20
0,0,2500,0,0,2500,11,20
0,0,2500,0,0,2500,12,20
0,0,2500,0,0,2500,13,20
0,0,2500,0,0,2500,14,20
0,0,2500,0,0,2500,15,20
0,0,2500,0,0,2500,16,20
0,0,2500,0,0,2500,17,20
0,0,2500,0,0,2500,18,20
0,0,2500,0,0,2500,19,20
0,125,2375,0,143,2357,0,20
0,125,2375,0,103,2397,1,20
0,125,2375,0,151,2349,2,20
0,125,2375,0,145,2355,3,20
0,125,2375,0,149,2351,4,20
0,125,2375,0,132,2368,5,20
0,125,2375,0,100,2400,6,20
0,125,2375,0,129,2371,7,20
0,125,2375,0,148,2352,8,20
0,125,2375,0,127,2373,9,20
0,125,2375,0,100,2400,10,20
0,125,2375,0,102,2398,11,20
0,125,2375,0,143,2357,12,20
0,125,2375,0,122,2378,13,20
0,125,2375,0,138,2362,14,20
0,125,2375,0,120,2380,15,20
0,125,2375,0,68,2432,16,20
0,125,2375,0,112,2388,17,20
0,125,2375,0,89,2411,18,20
0,125,2375,0,127,2373,19,20
0,250,2250,0,300,2200,0,20
0,250,2250,0,232,2268,1,20
0,250,2250,0,251,2249,2,20
0,250,2250,0,239,2261,3,20
0,250,2250,0,256,2244,4,20
0,250,2250,0,249,2251,5,20
0,250,2250,0,236,2264,6,20
0,250,2250,0,240,2260,7,20
0,250,2250,0,216,2284,8,20
0,250,2250,0,220,2280,9,20
0,250,2250,0,217,2283,10,20
0,250,2250,0,260,2240,11,20
0,250,2250,0,258,2242,12,20
0,250,2250,0,235,2265,13,20
0,250,2250,0,239,2261,14,20
0,250,2250,0,268,2232,15,20
0,250,2250,0,248,2252,16,20
0,250,2250,0,265,2235,17,20
0,250,2250,0,227,2273,18,20
0,250,2250,0,226,2274,19,20
0,375,2125,0,388,2112,0,20
0,375,2125,0,344,2156,1,20
0,375,2125,0,326,2174,2,20
0,375,2125,0,374,2126,3,20
0,375,2125,0,401,2099,4,20
0,375,2125,0,430,2070,5,20
0,375,2125,0,414,2086,6,20
0,375,2125,0,324,2176,7,20
