time,Strategy 1,Strategy 2,Strategy 3
0,523,180,197
1,523,180,197
2,529,172,199
3,535,163,202
4,541,155,204
5,547,147,206
6,554,140,206
7,562,132,206
8,568,126,206
9,576,116,208
10,582,110,208
11,592,97,211
12,599,90,211
13,607,81,212
14,610,77,213
15,613,73,214
16,617,68,215
17,622,62,216
18,628,56,216
19,633,50,217
20,633,47,220
21,636,44,220
22,639,41,220
23,645,33,222
24,647,30,223
25,649,27,224
26,651,24,225
27,652,19,229
28,652,18,230
29,651,17,232
30,650,14,236
31,646,13,241
32,641,12,247
33,635,12,253
34,632,12,256
35,631,11,258
36,628,10,262
37,625,9,266
38,624,7,269
39,621,6,273
40,617,6,277
41,612,6,282
42,607,6,287
43,602,6,292
44,594,5,301
45,588,4,308
46,578,4,318
47,569,3,328
48,560,3,337
49,552,2,346
50,545,2,353
51,537,1,362
52,526,1,373
53,515,1,384
54,506,1,393
55,497,1,402
56,485,1,414
57,479,1,420
58,463,1,436
59,453,1,446
60,441,1,458
61,429,1,470
62,421,1,478
63,412,1,487
64,402,1,497
65,385,1,514
66,377,1,522
67,370,1,529
68,355,1,544
69,346,1,553
70,333,1,566
71,328,1,571
72,320,1,579
73,310,1,589
74,298,1,601
75,290,1,609
76,281,1,618
77,271,1,628
78,263,1,636
79,254,1,645
80,247,1,652
81,235,1,664
82,225,0,675
83,218,0,682
84,206,0,694
85,198,0,702
86,188,0,712
87,175,0,725
88,167,0,733
89,158,0,742
90,151,0,749
91,145,0,755
92,137,0,763
93,130,0,770
94,127,0,773
95,122,0,778
96,117,0,783
97,112,0,788
98,104,0,796
99,100,0,800
100,95,0,805
101,89,0,811
102,83,0,817
103,80,0,820
104,74,0,826
105,69,0,831
106,67,0,833
107,64,0,836
108,58,0,842
109,58,0,842
110,57,0,843
111,55,0,845
112,51,0,849
113,48,0,852
114,47,0,853
115,47,0,853
116,43,0,857
117,39,0,861
118,37,0,863
119,34,0,866
120,30,0,870
121,29,0,871
122,27,0,873
123,24,0,876
124,21,0,879
125,21,0,879
126,21,0,879
127,18,0,882
128,15,0,885
129,15,0,885
130,12,0,888
131,11,0,889
132,8,0,892
133,7,0,893
134,7,0,893
135,7,0,893
136,4,0,896
137,4,0,896
138,4,0,896
139,4,0,896
140,2,0,898
141,2,0,898
142,2,0,898
143,2,0,898
144,2,0,898
145,2,0,898
146,2,0,898
147,2,0,898
148,2,0,898
149,2,0,898
150,1,0,899
151,1,0,899
152,0,0,900
153,0,0,900
154,0,0,900
155,0,0,900
156,0,0,900
157,0,0,900
158,0,0,900
159,0,0,900
160,0,0,900
161,0,0,900
162,0,0,900
163,0,0,900
164,0,0,900
165,0,0,900
166,0,0,900
167,0,0,900
168,0,0,900
169,0,0,900
170,0,0,900
171,0,0,900
172,0,0,900
173,0,0,900
174,0,0,900
175,0,0,900
176,0,0,900
177,0,0,900
178,0,0,900
179,0,0,900
180,0,0,900
181,0,0,900
182,0,0,900
183,0,0,900
184,0,0,900
185,0,0,900
186,0,0,900
187,0,0,900
188,0,0,900
189,0,0,900
190,0,0,900
191,0,0,900
192,0,0,900
193,0,0,900
194,0,0,900
195,0,0,900
196,0,0,900
197,0,0,900
198,0,0,900
199,0,0,900
200,0,0,900
201,0,0,900
