time,Strategy 1,Strategy 2,Strategy 3
0,136,124,140
1,154,147,99
2,169,145,86
3,197,140,63
4,232,112,56
5,266,83,51
6,298,62,40
7,316,45,39
8,345,28,27
9,355,17,28
10,349,8,43
11,363,7,30
12,369,3,28
13,381,0,19
14,375,0,25
15,373,0,27
16,375,0,25
17,376,0,24
18,384,0,16
19,381,0,19
20,382,0,18
21,388,0,12
22,381,0,19
23,385,0,15
24,379,0,21
25,386,0,14
26,392,0,8
27,388,0,12
28,392,0,8
29,396,0,4
30,399,0,1
31,396,0,4
32,397,0,3
33,398,0,2
34,399,0,1
35,397,0,3
36,399,0,1
37,395,0,5
38,398,0,2
39,400,0,0
40,400,0,0
41,400,0,0
42,400,0,0
43,400,0,0
44,400,0,0
45,400,0,0
46,400,0,0
47,400,0,0
48,400,0,0
49,400,0,0
50,400,0,0
51,400,0,0
52,400,0,0
53,400,0,0
54,400,0,0
55,400,0,0
56,400,0,0
57,400,0,0
58,400,0,0
59,400,0,0
60,400,0,0
61,400,0,0
62,400,0,0
63,400,0,0
64,400,0,0
65,400,0,0
66,400,0,0
67,400,0,0
68,400,0,0
69,400,0,0
70,400,0,0
71,400,0,0
72,400,0,0
73,400,0,0
74,400,0,0
75,400,0,0
76,400,0,0
77,400,0,0
78,400,0,0
79,400,0,0
80,400,0,0
81,400,0,0
82,400,0,0
83,400,0,0
84,400,0,0
85,400,0,0
86,400,0,0
87,400,0,0
88,400,0,0
89,400,0,0
90,400,0,0
91,400,0,0
92,400,0,0
93,400,0,0
94,400,0,0
95,400,0,0
96,400,0,0
97,400,0,0
98,400,0,0
99,400,0,0
100,400,0,0
101,400,0,0
